audio_input,text,languages_detected,is_code_switching
2222_audio1.wav,Aku mau book flight ke Jeddah minggu depan. Bisa bantu schedule?,['id'],False
2222_audio10.wav,Apa perbedaan umroh dan hajj secara detail dalam Islam?,['id'],False
2222_audio12.wav,Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang?,['id'],False
2222_audio14.wav,How to prepare dokumen umrah dari Indonesia dengan benar,['id'],False
2222_audio2.wav,Aku butuh travel umrah simple tapi include madinah visit.,['id'],False
2222_audio3.wav,Can you help aku arrange transport dari Judea ke Madinah tomorrow?,"['id', 'en']",True
2222_audio4.wav,Explain step by step cara apply visa Saudi dengan benar.,['id'],False
2222_audio5.wav,Ya akhi uridu bukfaik ilajadah al-rasbu'al qadim hal bisa bantu ajidah aftal skedul warih latan mubasyirah,['id'],False
2222_audio6.wav,uridu arrange transport menjedah ila madinah wadan,[],False
2222_audio7.wav,Book flight ke Jeddah lalu lanjut ke Madinah. Schedule terbaik kapan?,['id'],False
2301_audio1.wav,"Aku mau book fly ke Jeddah minggu depan, bisa bantu schedule?",['id'],False
2301_audio11.wav,Kenapa fasting di Ramadan itu wajib bagi muslim?,['id'],False
2301_audio12.wav,Bagaimana proses visa Saudi untuk umroh dari Indonesia sekarang?,['id'],False
2301_audio14.wav,How to prepare dokumen umroh dari Indonesia dengan benar,['id'],False
2301_audio15.wav,Tolong buat checklist persiapan umroh termasuk barang wajib dibawa.,[],False
2301_audio2.wav,"Aku butuh travel umrah simple, tapi include Madinah visit.",['id'],False
2301_audio3.wav,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow?,"['id', 'en']",True
2301_audio4.wav,Explain step by step cara apply visa Saudi dengan benar.,['id'],False
2301_audio5.wav,"Ya akhi, uri du buk flight ila jidah al-usbu al-qadim. Hal bisa bantu ajidah afdal skajul warih latan mubashiroh?",['id'],False
2301_audio6.wav,Uridu Range Transport menjedah ila Madinah Kogadan,[],False
2302_audio01.wav,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule.",['id'],False
2302_audio02.wav,"Aku butuh travel umroh simpel, tapi include Madinah visit.",['id'],False
2302_audio03.wav,Can you help? Aku arrange transport dari Jeddah ke Madinah tomorrow.,"['id', 'en']",True
2302_audio04.wav,Expand step by step cara apply visa Saudi dengan benar.,['id'],False
2302_audio05.wav,"Ya akhi, uridubu flight ilajidah al-usbu al-khadim hal bithabantu ajidah afdal skedul warih latan mubassiroh.",[],False
2302_audio06.wav,Uridu Range Transport Minjida ila Madinah Khadat.,[],False
2302_audio11.wav,Kenapa fasting di Ramadhan itu wajib bagi muslim?,['id'],False
2302_audio14.wav,How to prepare dokumen umroh dari Indonesia dengan benar?,['id'],False
2302_audio15.wav,Tolong buat ceklis persiapan umroh termasuk barang wajib di bawah.,['id'],False
2302_audio17.wav,"Menurut kamu, belajar bahasa Arab itu susah nggak untuk pemula?",['id'],False
2303_audio01.wav,Aku mau book flight ke Jeddah minggu depan bisa bantu schedule,['id'],False
2303_audio02.wav,aku butuh travel umrah simple tapi include madinah visit,['id'],False
2303_audio03.wav,can you help me arrange transport dari jeddah ke madinah tomorrow,"['id', 'en']",True
2303_audio04.wav,Explain step by step cara apply visa Saudi dengan benar.,['id'],False
2303_audio06.wav,uridu orange transport min jeddah ilah madinah hadan,[],False
2303_audio07.wav,buk flight ke jeddah lalu lanjut ke madinah schedule terbaik kapan,['id'],False
2303_audio13.wav,Jelaskan step by step cara booking flight ke Jeddah secara online.,['id'],False
2303_audio15.wav,Tolong buat checklist persiapan umrah termasuk barang wajib dibawah,[],False
2303_audio19.wav,"Ahyanan, saya bingung mulai dari mana untuk umrah.",['id'],False
2304_audio01.wav,Aku mau book flight ke jedah minggu depan. Bisa bantu schedule?,['id'],False
2304_audio02.wav,"Aku butuh travel umroh simple, tapi include Madinah visit.",['id'],False
2304_audio03.wav,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow?,"['id', 'en']",True
2304_audio04.wav,Explain step by step cara apply visa Saudi dengan benar.,['id'],False
2304_audio05.wav,"Ya akhi, uri dubuk fly ila jiddah al-usbu al-qadim, hal bisa bantu ajidah afdal schedule warih latanmu bashiroh.",['id'],False
2304_audio06.wav,Uridu arranged transport min cerdah ila Madinah Khoden.,[],False
2304_audio07.wav,Book flight ke Jeddah lanjut ke Madinah. Schedule terbaik kapan?,['id'],False
2304_audio11.wav,Kenapa fasting di Ramadan itu wajib bagi muslim?,['id'],False
2304_audio15.wav,"Tolong buat checklist persiapan umroh, termasuk barang wajib di bawah.",['id'],False
2304_audio18.wav,I feel overwhelmed dengan persiapan umroh. Ada tips sederhana?,['id'],False
2306_Audio01.wav,Aku mau book flight ke Jeddah minggu depan. Bisa bantu schedule?,['id'],False
2306_Audio02.wav,Aku butuh travel umur simple tapi include Madinah visit.,['id'],False
2306_Audio03.wav,Can you help? Aku alrits transport dari Jabodah ke Madinah tomorrow.,"['id', 'en']",True
2306_Audio04.wav,Explore step by step cara apply visa Saudi dengan benar,['id'],False
2306_Audio05.wav,"Ya akhi, uridu, buku laik ila jidda, al-usbu, al-qadim, hal bisibantu ajidda afdal skicul wari latat mubasyurah.",[],False
2306_Audio06.wav,Uridu Restoransport menciptah ila Madinah Gaden,[],False
2306_Audio11.wav,Kenapa fasting di Ramadan itu wajib bagi muslim?,['id'],False
2306_Audio12.wav,Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang?,['id'],False
2306_Audio13.wav,Jelaskan step by step cara booking flight ke jadah secara online.,['id'],False
2306_Audio14.wav,How to prepare dokumen umroh dari Indonesia dengan benar,['id'],False
2306_Audio15.wav,Tolong buat checklist persiapan umrah termasuk barang wajib dibawa.,[],False
2307_audio01.wav,Aku mau book flight ke Jeddah minggu depan. Bisa bantu schedule?,['id'],False
2307_audio02.wav,"Aku butuh travel omrah, simple, tapi include Madinah visit.",['id'],False
2307_audio03.wav,can you help aku arrange transport dari jeddah ke madinah tomorrow,"['id', 'en']",True
2307_audio04.wav,Explain step by step cara apply visa Saudi dengan benar.,['id'],False
2307_audio05.wav,"Ya aki, uridu buk flight ila jaddah al-usbu al-qadim. Hal bisa bantu, ajid afdal, skejul warih watan, mubasyir watan.",['id'],False
2307_audio06.wav,Uridu arrange transport min jerdah ila Madinah Khadan.,[],False
2307_audio07.wav,"Book flight ke Jeddah, lalu lanjut ke Madinah. Schedule terbaik, kapan?",['id'],False
2307_audio10.wav,Apa perbedaan umrah dan haji secara detail dalam Islam?,['id'],False
2307_audio15.wav,Tolong buat checklist persiapan umroh termasuk barang wajib di bawah.,['id'],False
2307_audio17.wav,Menurut kamu belajar bahasa Arab itu susah nggak untuk pemula?,['id'],False
2308_audio01.wav,Aku mau book flight ke jedah minggu depan. Bisa bantu schedule?,['id'],False
2308_audio02.wav,Aku butuh travel umroh simple tapi include Madinah visit.,['id'],False
2308_audio03.wav,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow?,"['id', 'en']",True
2308_audio04.wav,Explain step by step cara apply visa Saudi dengan benar.,['id'],False
2308_audio05.wav,"Ya Akhi, uridu bukflaik ila jedah al-usbu' al-qadim, hal bisa bantu ajidah afdol skejul warih latan mubashiroh?",['id'],False
2308_audio06.wav,Uridu arranged transport min jeddah ila Madinah Wadan.,[],False
2308_audio12.wav,Bagaimana proses visa Saudi untuk umroh dari Indonesia sekarang?,['id'],False
2308_audio13.wav,Jelaskan step by step cara booking flight ke Jeddah secara online.,['id'],False
